id,name,group,primary_type,additional_type(s)
720575940622340393,GNG.2431,GNG,TPMN,
720575940622341354,PVLP.LO.11,PVLP.LO,LC9,
720575940622341814,AMMC.7,AMMC,CB0980,
720575940622343094,CRE.SCL.5,CRE.SCL,CB3003,
720575940622343718,LO.PLP.578,LO.PLP,LCe02,LC24
720575940622344170,SAD.480,SAD,JO-EV,
720575940622345215,PVLP.LO.39,PVLP.LO,LC9,
720575940622345471,GNG.3297,GNG,,
720575940622346180,PRW.182,PRW,,
720575940622346247,SCL.ICL.25,SCL.ICL,CL086_b,
720575940622346509,SPS.IPS.71,SPS.IPS,CB2347,
720575940622346851,ICL.72,ICL,CL090_a,
720575940622346935,AVLP.2624,AVLP,CB1422,
720575940622347784,GNG.2686,GNG,DNg05_b,
720575940622348156,GNG.198,GNG,CB2385,
720575940622349831,LO.PVLP.246,LO.PVLP,LC17,
720575940622350571,AVLP.SLP.142,AVLP.SLP,CB2188,
720575940622351595,SAD.141,SAD,CB2380,
720575940622351996,GNG.1358,GNG,DNge019,
